2024-03-04 00:00:00,,,,,Ketua,,,Ketua Perhimpunan Kehidupan Pelayanan
2024-03-04 00:00:00,,,,,Memulai Percakapan,th pelajaran 11,,(1 men.) RUMAH KE RUMAH. Tawarkan undangan Peringatan. (th pelajaran 11)
2024-03-04 00:00:00,,,,,Memulai Percakapan,th pelajaran 9,,"(3 men.) RUMAH KE RUMAH. Tawarkan undangan Peringatan. Orang yang Saudara temui berminat. Lalu, tunjukkan dan bahas video Memperingati Kematian Yesus. (th pelajaran 9)"
2024-03-04 00:00:00,,,,,Memulai Percakapan,th pelajaran 2,,(2 men.) KESAKSIAN TIDAK RESMI. Tawarkan undangan Peringatan. (th pelajaran 2)
2024-03-04 00:00:00,,,,,Menjadikan Murid,th pelajaran 6,,(5 men.) lff pelajaran 14 paragraf pembuka dan nomor 1-3 (th pelajaran 6)
2024-03-04 00:00:00,,,,,Pembahasan/Khotbah,,,(15 men.) Pembahasan. Bagaimana Kita Bisa Mempersiapkan Diri untuk Acara Peringatan?
2024-03-04 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 6 ¶18-24, kotak di hlm. 48 Pelajaran Alkitab Sidang"
2024-03-11 00:00:00,Local Need,,,,Baik Hati—Apa yang Yesus Lakukan?,,,"(7 men.) Pembahasan. Putar VIDEONYA, lalu bahas brosur lmd pelajaran 3 nomor 1-2."
2024-03-11 00:00:00,Local Need,,,,Baik Hati—Tirulah Yesus,,,(8 men.) Pembahasan berdasarkan brosur lmd pelajaran 3 nomor 3-5 dan bagian ”Lihat Juga”.
2024-03-11 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 7 ¶1-8, kotak di hlm. 53 Pelajaran Alkitab Sidang"
2024-03-18 00:00:00,,,,,Ketua,,,Ketua Perhimpunan Kehidupan Pelayanan
2024-03-18 00:00:00,,,,,Memulai Percakapan,lmd pelajaran 2 nomor 3,,"(3 men.) KESAKSIAN DI TEMPAT UMUM. Tawarkan undangan Peringatan kepada seseorang, lalu gunakan jw.org untuk mencari acara Peringatan yang terdekat baginya. (lmd pelajaran 2 nomor 3)"
2024-03-18 00:00:00,,,,,Memulai Percakapan,lmd pelajaran 3 nomor 4,,(4 men.) KESAKSIAN TIDAK RESMI. Sambutlah orang yang datang ke acara Peringatan karena dia menerima undangan tapi tidak ada yang dia kenal. Buatlah janji untuk menjawab pertanyaannya. (lmd pelajaran 3 nomor 4)
2024-03-18 00:00:00,,,,,Menjelaskan Kepercayaan Saudara,th pelajaran 6,,(5 men.) Khotbah. ijwfq 45—Tema: Mengapa Cara Saksi Yehuwa Memperingati Perjamuan Kudus Berbeda dengan Gereja Lainnya? (th pelajaran 6)
2024-03-18 00:00:00,,,,,Pembahasan/Khotbah,,,(15 men.) Pembahasan. Putar VIDEONYA. Lalu ajukan pertanyaan: Bangunlah Iman dengan Mengamati Ciptaan
2024-03-18 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 7 ¶9-13, kotak di hlm. 56 Pelajaran Alkitab Sidang"
2024-03-25 00:00:00,Local Need,,,,Memulai Percakapan,lmd pelajaran 4 nomor 4,,(3 men.) RUMAH KE RUMAH. (lmd pelajaran 4 nomor 4)
2024-03-25 00:00:00,Local Need,,,,Melakukan Kunjungan Kembali,lmd pelajaran 4 nomor 3,,(4 men.) KESAKSIAN TIDAK RESMI. Kunjungi kembali seseorang yang menerima undangan Peringatan dan menunjukkan minat. (lmd pelajaran 4 nomor 3)
2024-03-25 00:00:00,Local Need,,,,Khotbah,th pelajaran 20,,(5 men.) w20.07 12-13 ¶14-17—Tema: Bagaimana Nubuat Alkitab Bisa Memperkuat Iman Kita? (th pelajaran 20)
2024-03-25 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 7 ¶14-18, kotak di hlm. 57-58 Pelajaran Alkitab Sidang"
2024-04-01 00:00:00,,,,,Ketua,,,Ketua Perhimpunan Kehidupan Pelayanan
2024-04-01 00:00:00,,,,,Memulai Percakapan,lmd pelajaran 2 nomor 5,,(3 men.) KESAKSIAN TIDAK RESMI. Bagikan ayat Alkitab yang menguatkan kepada seseorang yang memberi tahu Saudara bahwa dia khawatir tentang kondisi bumi yang semakin rusak. (lmd pelajaran 2 nomor 5)
2024-04-01 00:00:00,,,,,Melakukan Kunjungan Kembali,lmd pelajaran 9 nomor 3,,(4 men.) RUMAH KE RUMAH. Tunjukkan caranya belajar Alkitab dengan brosur Hidup Bahagia Selamanya! kepada seseorang yang sudah menerima brosur itu. (lmd pelajaran 9 nomor 3)
2024-04-01 00:00:00,,,,,Menjadikan Murid,lmd pelajaran 11 nomor 3,,(5 men.) lff pelajaran 14 nomor 4 (lmd pelajaran 11 nomor 3)
2024-04-01 00:00:00,,,,,Pembahasan/Khotbah,,,(15 men.) Pembahasan. Jangan Dengarkan Suara yang Tidak Dikenal
2024-04-01 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 8 ¶1-4, kotak di hlm. 61-62 Pelajaran Alkitab Sidang"
2024-04-08 00:00:00,,,,,Ketua,,,Ketua Perhimpunan Kehidupan Pelayanan
2024-04-08 00:00:00,,,,,Memulai Percakapan,th pelajaran 3,,(2 men.) RUMAH KE RUMAH. Gunakan sebuah risalah dari Alat Bantu Pengajaran. (th pelajaran 3)
2024-04-08 00:00:00,,,,,Melakukan Kunjungan Kembali,lmd pelajaran 9 nomor 3,,"(4 men.) RUMAH KE RUMAH. Bahas pertanyaan yang ada di bagian belakang risalah yang Saudara tempatkan di kunjungan sebelumnya. Perkenalkan jw.org, dan tunjukkan satu hal menarik yang ada di situs web itu. (lmd pelajaran 9 nomor 3)"
2024-04-08 00:00:00,,,,,Khotbah,th pelajaran 13,,(5 men.) lmd lampiran A nomor 3—Tema: Keadaan Bumi yang Rusak Akan Dipulihkan. (th pelajaran 13)
2024-04-08 00:00:00,,,,,Pembahasan/Khotbah,,,(15 men.) Pembahasan. Anak-Anak Muda yang Tetap Bersih Secara Moral
2024-04-08 00:00:00,,,,,Pelajaran Alkitab Sidang,,,(30 men.) bt psl. 8 ¶5-12 Pelajaran Alkitab Sidang
2024-04-15 00:00:00,,,,,Ketua,,,Ketua Perhimpunan Kehidupan Pelayanan
2024-04-15 00:00:00,,,,,Memulai Percakapan,lmd pelajaran 5 nomor 3,,(1 men.) KESAKSIAN DI TEMPAT UMUM. Berikan kesaksian dengan singkat kepada seseorang yang sedang sibuk. (lmd pelajaran 5 nomor 3)
2024-04-15 00:00:00,,,,,Memulai Percakapan,lmd pelajaran 3 nomor 3,,"(3 men.) KESAKSIAN TIDAK RESMI. Tunjukkan sebuah video untuk anak-anak kepada seorang ibu, dan tunjukkan caranya dia bisa menemukan video-video lainnya. (lmd pelajaran 3 nomor 3)"
2024-04-15 00:00:00,,,,,Melakukan Kunjungan Kembali,lmd pelajaran 8 nomor 3,,(3 men.) KESAKSIAN DI TEMPAT UMUM. Tawarkan pelajaran Alkitab kepada seseorang yang dulunya pernah menolak untuk belajar Alkitab. (lmd pelajaran 8 nomor 3)
2024-04-15 00:00:00,,,,,Menjadikan Murid,th pelajaran 6,,(4 men.) lff pelajaran 14 nomor 5 (th pelajaran 6)
2024-04-15 00:00:00,,,,,Pembahasan/Khotbah,,,(7 men.) Pembahasan. Putar VIDEONYA. Lalu ajukan pertanyaan: Mengapa Kita Beriman Akan
2024-04-15 00:00:00,,,,,Pembahasan/Khotbah,,,(8 men.) Khotbah. Putar VIDEONYA. Laporan Terkini Program Rancang/Bangun Setempat 2024
2024-04-15 00:00:00,,,,,Pelajaran Alkitab Sidang,,,(30 men.) bt psl. 8 ¶13-21 Pelajaran Alkitab Sidang
2024-04-22 00:00:00,Local Need,,,,Rendah Hati—Apa yang Paulus Lakukan?,,,"(7 men.) Pembahasan. Putar VIDEONYA, lalu bahas brosur lmd pelajaran 4 nomor 1-2."
2024-04-22 00:00:00,Local Need,,,,Rendah Hati—Tirulah Paulus,,,(8 men.) Pembahasan berdasarkan brosur lmd pelajaran 4 nomor 3-5 dan bagian ”Lihat Juga”.
2024-04-22 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 8 ¶22-24, kotak di hlm. 67 Pelajaran Alkitab Sidang"
2024-04-29 00:00:00,,,,,Ketua,,,Ketua Perhimpunan Kehidupan Pelayanan
2024-04-29 00:00:00,,,,,Memulai Percakapan,lmd pelajaran 1 nomor 4,,(2 men.) KESAKSIAN TIDAK RESMI. Percakapannya berakhir sebelum Saudara bisa memberikan kesaksian. (lmd pelajaran 1 nomor 4)
2024-04-29 00:00:00,,,,,Melakukan Kunjungan Kembali,lmd pelajaran 2 nomor 4,,(4 men.) KESAKSIAN TIDAK RESMI. (lmd pelajaran 2 nomor 4)
2024-04-29 00:00:00,,,,,Menjelaskan Kepercayaan Saudara,th pelajaran 17,,(5 men.) Pertunjukan. ijwfq 59—Tema: Apa yang Menjadi Dasar bagi Saksi-Saksi Yehuwa Saat Memutuskan Apakah Mereka Akan Ikut dalam Hari Raya Tertentu? (th pelajaran 17)
2024-04-29 00:00:00,,,,,Pembahasan/Khotbah,,,(15 men.) Pembahasan. Tiga Cara untuk Memuji Yehuwa di Perhimpunan
2024-04-29 00:00:00,,,,,Pelajaran Alkitab Sidang,,,"(30 men.) bt psl. 9 ¶1-7, pengantar bagian 3, dan kotak di hlm. 70 Pelajaran Alkitab Sidang"
